"Cidade","Nº Oc.","Data","Bairro","Local","Emergência","Viaturas","Obm.","Latitude","Longitude","todos_subgrupos","Detalhar"
"PORTO ALEGRE","555594","23/08/2023 - 11:17","IPANEMA","GUAÍBA","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.135886034961537","-51.232016086578376","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555596","23/08/2023 - 11:20","CAVALHADA","JUCA BATISTA","AÇÕES PREVENTIVAS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.14358705207322","-51.215364933013916","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555598","23/08/2023 - 11:29","SÃO JOÃO","DOM PEDRO II","AÇÕES PREVENTIVAS","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.012773903012732","-51.18815660476685","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555608","23/08/2023 - 12:07","CAMAQUÃ","TAMANDARÉ","AVERIGUAÇÃO/MANEJO DE INSETOS","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.09609096962616","-51.24074935913087","EXTERMÍNIO | REMOÇÃO | VISTORIA",""
"PORTO ALEGRE","555609","23/08/2023 - 12:10","PASSO DAS PEDRAS","GOMES DE CARVALHO","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.012049260992832","-51.127216815948486","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555612","23/08/2023 - 12:12","PASSO DAS PEDRAS","GOMES DE CARVALHO","AÇÕES PREVENTIVAS","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.014539034496728","-51.12732410430909","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555670","23/08/2023 - 14:39","SÃO GERALDO","SÃO PEDRO","SALVAMENTO/BUSCA/RESGATE","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.0122536477396","-51.19753360748291","DE ANIMAL",""
"PORTO ALEGRE","555721","23/08/2023 - 16:53","PASSO DAREIA","ASSIS BRASIL","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.010376989973192","-51.157150268554695","LIXO",""
"PORTO ALEGRE","555727","23/08/2023 - 17:12","NONOAI","AVENIDA NONOAI","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.08735581257569","-51.216598749160774","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555728","23/08/2023 - 17:18","CAMAQUÃ","PROFESSOR DOUTOR JOÃO PITTA PINHEIRO FILHO","INCÊNDIO","ABT-291","1º BBM / 1ª CIA / 3º PEL / ASSUNÇÃO","-30.106746630425015","-51.23643636703492","EDIFICAÇÃO RESIDENCIAL UNIFAMILIAR",""
"PORTO ALEGRE","555730","23/08/2023 - 17:25","CRISTAL","DONA CRISTINA","AÇÕES PREVENTIVAS","ABT-1250","1º BBM / 1ª CIA / 2º PEL / TERESÓPOLIS","-30.0873650958302","-51.22721493244171","VISTORIA DE HIDRANTES",""
"PORTO ALEGRE","555769","23/08/2023 - 19:12","PASSO DAS PEDRAS","AV VITORIA","INCÊNDIO","ABT-1363","1º BBM / 2ª CIA / 2º PEL / PASSO D`AREIA","-30.025352101607712","-51.12850427627564","LIXO",""
"PORTO ALEGRE","555769","23/08/2023 - 19:12","PASSO DAS PEDRAS","AV VITORIA","OCORRÊNCIA NÃO ATENDIDA","ABT-1365","1º BBM / 2ª CIA / 1º PEL / FLORESTA","-30.02559361713447","-51.12859010696412","",""
